Epoch [341/400], Train Loss: 29.6667, Val Loss: 79.7466
Epoch [342/400], Train Loss: 29.6591, Val Loss: 79.7010
Epoch [343/400], Train Loss: 29.6434, Val Loss: 79.4649
Epoch [344/400], Train Loss: 29.6485, Val Loss: 79.2601
Epoch [345/400], Train Loss: 29.6422, Val Loss: 79.0813
Epoch [346/400], Train Loss: 29.6263, Val Loss: 78.9070
Epoch [347/400], Train Loss: 29.6163, Val Loss: 78.7291
Epoch [348/400], Train Loss: 29.6105, Val Loss: 78.6923
Epoch [349/400], Train Loss: 29.5978, Val Loss: 78.4922
Epoch [350/400], Train Loss: 29.6028, Val Loss: 78.3223
Epoch [351/400], Train Loss: 29.5989, Val Loss: 78.1775
Epoch [352/400], Train Loss: 29.5861, Val Loss: 78.0362
Epoch [353/400], Train Loss: 29.5778, Val Loss: 77.8896
Epoch [354/400], Train Loss: 29.5732, Val Loss: 77.8603
Epoch [355/400], Train Loss: 29.5625, Val Loss: 77.6893
Epoch [356/400], Train Loss: 29.5670, Val Loss: 77.5481
Epoch [357/400], Train Loss: 29.5648, Val Loss: 77.4312
Epoch [358/400], Train Loss: 29.5543, Val Loss: 77.3167
Epoch [359/400], Train Loss: 29.5470, Val Loss: 77.1957
Epoch [360/400], Train Loss: 29.5431, Val Loss: 77.1724
Epoch [361/400], Train Loss: 29.5339, Val Loss: 77.0253
Epoch [362/400], Train Loss: 29.5378, Val Loss: 76.9073
Epoch [363/400], Train Loss: 29.5367, Val Loss: 76.8132
Epoch [364/400], Train Loss: 29.5277, Val Loss: 76.7206
Epoch [365/400], Train Loss: 29.5212, Val Loss: 76.6205
Epoch [366/400], Train Loss: 29.5176, Val Loss: 76.6021
Epoch [367/400], Train Loss: 29.5095, Val Loss: 76.4739
Epoch [368/400], Train Loss: 29.5126, Val Loss: 76.3749
Epoch [369/400], Train Loss: 29.5123, Val Loss: 76.2992
Epoch [370/400], Train Loss: 29.5045, Val Loss: 76.2243
Epoch [371/400], Train Loss: 29.4984, Val Loss: 76.1410
Epoch [372/400], Train Loss: 29.4950, Val Loss: 76.1264
Epoch [373/400], Train Loss: 29.4875, Val Loss: 76.0137
Epoch [374/400], Train Loss: 29.4899, Val Loss: 75.9295
Epoch [375/400], Train Loss: 29.4903, Val Loss: 75.8687
Epoch [376/400], Train Loss: 29.4832, Val Loss: 75.8081
Epoch [377/400], Train Loss: 29.4774, Val Loss: 75.7383
Epoch [378/400], Train Loss: 29.4739, Val Loss: 75.7269
Epoch [379/400], Train Loss: 29.4670, Val Loss: 75.6261
Epoch [380/400], Train Loss: 29.4688, Val Loss: 75.5539
Epoch [381/400], Train Loss: 29.4695, Val Loss: 75.5050
Epoch [382/400], Train Loss: 29.4630, Val Loss: 75.4558
Epoch [383/400], Train Loss: 29.4573, Val Loss: 75.3966
Epoch [384/400], Train Loss: 29.4538, Val Loss: 75.3878
Epoch [385/400], Train Loss: 29.4472, Val Loss: 75.2961
Epoch [386/400], Train Loss: 29.4484, Val Loss: 75.2333
Epoch [387/400], Train Loss: 29.4495, Val Loss: 75.1938
Epoch [388/400], Train Loss: 29.4435, Val Loss: 75.1536
Epoch [389/400], Train Loss: 29.4377, Val Loss: 75.1027
Epoch [390/400], Train Loss: 29.4342, Val Loss: 75.0960
Epoch [391/400], Train Loss: 29.4278, Val Loss: 75.0115
Epoch [392/400], Train Loss: 29.4285, Val Loss: 74.9559
Epoch [393/400], Train Loss: 29.4298, Val Loss: 74.9241
Epoch [394/400], Train Loss: 29.4240, Val Loss: 74.8908
Epoch [395/400], Train Loss: 29.4182, Val Loss: 74.8464
Epoch [396/400], Train Loss: 29.4146, Val Loss: 74.8412
Epoch [397/400], Train Loss: 29.4083, Val Loss: 74.7620
Epoch [398/400], Train Loss: 29.4087, Val Loss: 74.7120
Epoch [399/400], Train Loss: 29.4102, Val Loss: 74.6858
Epoch [400/400], Train Loss: 29.4046, Val Loss: 74.6579
